Name,Location,Rank,Name_2,Rank_2
Saint Louis University,"St. Louis, MO",96,New Jersey Inst. of Technology,97
Stony Brook University--SUNY,"Stony Brook, NY",96,Saint Louis University,97
Auburn University,"Auburn, AL",99,Texas Christian University,97
Loyola University Chicago,"Chicago, IL",99,University of Denver,97
SUNY College of Environmental Science and Forestry,"Syracuse, NY",99,University of San Francisco,97
University at Buffalo--SUNY,"Buffalo, NY",99,Yeshiva University (NY),97
"Illinois Institute of Technology, American","Chicago, IL",103,Auburn University (AL),104
University of Alabama,"Tuscaloosa, AL",103,Creighton University (NE),104
University of Oregon,"Eugene, OR",103,Howard University (DC),104
University of Tennessee,"Knoxville, TN",103,Loyola University Chicago,104
Rochester Institute of Technology,"Rochester, NY",107,Rochester Inst. of Technology (NY),104
University of New Hampshire,"Durham, NH",107,Temple University (PA),104
University of San Francisco,"San Francisco, CA",107,University of California--Merced,104
University of South Carolina,"Columbia, SC",107,University of Colorado--Boulder,104
Iowa State University,"Ames, IA",111,University of Oregon,104
UD University,"Dayton, OH",112,Univ. of South Carolina,104
University of Dayton,"Dayton, OH",113,University of South Florida,104
University of Missouri,"Columbia, MO",114,University of Tennessee,104
University of Nebraska--Lincoln,"Lincoln, NE",115,University of Utah,104
University of Oklahoma,"Norman, OK",116,Arizona State University--Tempe,117
University of the Pacific,"Stockton, CA",117,Clarkson University (NY),117
University of Utah,"Salt Lake City, UT",118,Illinois Institute of Technology,117
Michigan Technological University,"Houghton, MI",119,University of Arizona,117
Seton Hall University,"South Orange, NJ",120,Iowa State University,121
Temple University,"Philadelphia, PA",121,SUNY Col. of Envir. Sci. and Forestry,121
University of California--Riverside,"Riverside, CA",122,University of Tulsa (OK),121
University of Kansas,"Lawrence, KS",123,University of Vermont,121
University of St. Thomas,"St. Paul, MN",124,Chapman University (CA),125
The Catholic University of America,"Washington, DC",125,DePaul University (IL),125
DePaul University,"Chicago, IL",126,Simmons University (MA),125
Duquesne University,"Pittsburgh, PA",127,University of New Hampshire,125
Howard University,"Washington, DC",128,University of the Pacific (CA),125
University of Arizona,"Tucson, AZ",129,Drake University (IA),130
Arizona State University,"Tempe, AZ",500,University of Kansas,130
Clarkson University,"Potsdam, NY",131,Duquesne University (PA),132
Colorado State University,"Fort Collins, CO",132,Rutgers University--Newark (NJ),132
New School,"New York, NY",133,University of Dayton (OH),132
Hofstra University,"Hempstead, NY",134,University of Illinois--Chicago,132
University of Kentucky,"Lexington, KY",135,University of Kentucky,132
Kansas State University,"Manhattan, KS",136,University of La Verne (CA),132
Louisiana State University--Baton Rouge,"Baton Rouge, LA",137,University of Oklahoma,132
Mercer University,"Macon, GA",138,The Catholic University of America (DC),139
New Jersey Institute of Technology,"Newark, NJ",139,Oregon State University,139
Rutgers University--Newark,"Newark, NJ",140,Seattle University,139
University of Arkansas,"Fayetteville, AR",141,Seton Hall University (NJ),139
University of Cincinnati,"Cincinnati, OH",142,University of Cincinnati,139
University of Mississippi,"University, MS",143,Univ. of Missouri,139
George Mason University,"Fairfax, VA",144,Univ. of Nebraska--Lincoln,139
Oregon State University,"Corvallis, OR",145,University of St. Thomas (MN),139
Washington State University,"Pullman, WA",146,Michigan Technological University,147
Adelphi University,"Garden City, NY",147,Samford University (AL),147
Ohio University,"Athens, OH",148,San Diego State University,147
San Diego State University,"San Diego, CA",149,University at Albany--SUNY,147
St. John Fisher College,"Rochester, NY",150,University of St. Joseph (CT),147
University at Albany--SUNY,"Albany, NY",151,University of Texas--Dallas,147
University of Texas--Dallas,"Richardson, TX",152,George Mason University (VA),153
Illinois State University,"Normal, IL",153,Louisiana State University--Baton Rouge,153
Immaculata University,"Immaculata, PA",154,Mercer University (GA),153
Oklahoma State University,"Stillwater, OK",155,The New School (NY),153
University of California--Merced,"Merced, CA",156,Quinnipiac University (CT),153
UIC University,"Chicago, IL",157,Thomas Jefferson University (PA),153
UIC,"Chicago, IL",157,University of Alabama,153
University of Illinois--Chicago,"Chicago, IL",158,University of Arkansas,153
University of La Verne,"La Verne, CA",159,Valparaiso University (IN),153
University of Massachusetts--Lowell,"Lowell, MA",160,Hofstra University (NY),162
Seattle Pacific University,"Seattle, WA",161,Kansas State University,162
University of Alabama--Birmingham,"Birmingham, AL",162,University of Mississippi,162
University of Maryland--Baltimore County,"Baltimore, MD",163,Virginia Commonwealth University,162
University of Rhode Island,"Kingston, RI",164,Adelphi University (NY),166
USF University,"Tampa, FL",165,Belmont University (TN),166
University of South Florida,"Tampa, FL",166,Colorado State University,166
Biola University,"La Mirada, CA",167,Montclair State University (NJ),166
Maryville University of St. Louis,"St Louis, MO",168,Rowan University (NJ),166
Missouri University of Science & Technology,"Rolla, MO",169,Rutgers University--Camden (NJ),166
St. John's University,"Queens, NY",170,St. John Fisher College (NY),166
Virginia Commonwealth University,"Richmond, VA",171,University of Alabama--Birmingham,166
Union University,"Jackson, TN",172,University of Central Florida,166
University of Hawaii--Manoa,"Honolulu, HI",173,University of Hawaii--Manoa,166
