Name,Location,Rank
University of Illinois--Chicago,"Chicago, IL",158
University of La Verne,"La Verne, CA",159
University of Massachusetts--Lowell,"Lowell, MA",160
Seattle Pacific University,"Seattle, WA",161
University of Alabama--Birmingham,"Birmingham, AL",162
University of Maryland--Baltimore County,"Baltimore, MD",163
University of Rhode Island,"Kingston, RI",164
USF University,"Tampa, FL",165
University of South Florida,"Tampa, FL",166
Biola University,"La Mirada, CA",167
Maryville University of St. Louis,"St Louis, MO",168
Missouri University of Science & Technology,"Rolla, MO",169
St. John's University,"Queens, NY",170
Virginia Commonwealth University,"Richmond, VA",171
Union University,"Jackson, TN",172
University of Hawaii--Manoa,"Honolulu, HI",173
Edgewood College,"Madison, WI",174
Florida Institute of Technology,"Melbourne, FL",175
University of Idaho,"Moscow, ID",176
University of Louisville,"Louisville, KY",177
University of Wyoming,"Laramie, WY",178
Ball State University,"Muncie, IN",179
Lipscomb University,"Nashville, TN",180
Mississippi State University,"Mississippi State, MS",181
Montclair State University,"Montclair, NJ",182
Texas Tech University,"Lubbock, TX",183
University of Central Florida,"Orlando, FL",184
University of New Mexico,"Albuquerque, NM",185
Andrews University,"Berrien Springs, MI",186
Azusa Pacific University,"Azusa, CA",187
University of Maine,"Orono, ME",188
West Virginia University,"Morgantown, WV",189
Widener University,"Chester, PA",190
Kent State University,"Kent, OH",191
North Dakota State University,"Fargo, ND",192
Pace University,"New York, NY",193
Robert Morris University,"Moon Township, PA",194
Suffolk University,"Boston, MA",195
University of Hartford,"West Hartford, CT",196
Bowling Green State University,"Bowling Green, OH",197
University of Houston,"Houston, TX",198
Western Michigan University,"Kalamazoo, MI",199
Indiana University-Purdue University--Indianapolis,"Indianapolis, IN",200
Lesley University,"Cambridge, MA",201
University of Alabama--Huntsville,"Huntsville, AL",202
University of Colorado--Denver,"Denver, CO",203
University of Nevada--Reno,"Reno, NV",204
California State University--Fullerton,"Fullerton, CA",205
Central Michigan University,"Mount Pleasant, MI",206
Louisiana Tech University,"Ruston, LA",207
South Dakota State University,"Brookings, SD",208
University of Alaska--Fairbanks,"Fairbanks, AK",209
University of North Carolina--Charlotte,"Charlotte, NC",210
University of North Dakota,"Grand Forks, ND",211
University of South Dakota,"Vermillion, SD",212
East Carolina University,"Greenville, NC",213
Montana State University,"Bozeman, MT",214
Old Dominion University,"Norfolk, VA",215
University of Missouri--Kansas City,"Kansas City, MO",216
Ashland University,"Ashland, OH",217
Dallas Baptist University,"Dallas, TX",218
Northern Illinois University,"DeKalb, IL",219
Nova Southeastern University,"Ft. Lauderdale, FL",220
Southern Illinois University--Carbondale,"Carbondale, IL",221
University of Montana,"Missoula, MT",222
Benedictine University,"Lisle, IL",223
California State University--Fresno,"Fresno, CA",224
Gardner-Webb University,"Boiling Springs, NC",225
New Mexico State University,"Las Cruces, NM",226
Shenandoah University,"Winchester, VA",227
Tennessee Tech University,"Cookeville, TN",228
University of Massachusetts--Boston,"Boston, MA",229
University of Massachusetts--Dartmouth,"North Dartmouth, MA",230
University of Missouri--St. Louis,"St. Louis, MO",231
University of North Carolina--Greensboro,"Greensboro, NC",232
University of Southern Mississippi,"Hattiesburg, MS",233
Utah State University,"Logan, UT",234
Cleveland State University,"Cleveland, OH",235
Southwest Minnesota State University,MN,236
Salem University,MN,237
University of North Texas,DC,238
Bay Atlantic University,DC,239
Westcliff University,DC,240
St. cloud state university,DC,241
Minnesota State University Mankato,DC,242
Loyola University,IL,243
University of illinios urabana champaign,IL,244
New Mexico Highland University,IL,245
University of North Alabama,AB,246
University of Texas Arlington,IL,247
UT Arlington University,IL,248
Lamar University,IL,249
University of New Haven,IL,1000
Full Sail University,IL,1300
University of Bridgeport,IL,252
Gannon University,IL,1200
"California State University, Northridge",IL,254
Troy University ,IL,255
University of Massachusetts,IL,256
University of South Alabama,IL,257
University of Louisiana at Monroe,il,258
UMass Boston University,IL,259
miu university,IL,1240
Maharishi International University,IL,1240
University of Potomac,IL,1422
Saint Paul State University,IL,1532
University of Michigan-Flint,il,350
XYZ University ,IL,1500
Indiana Institute of Tech,IL,250
Rowan University,IL,194
Told University,IL,200
iit chicago university,IL,127
Miami University,AA,105
Missouri State University,AA,370
Caltech university,CA,20
RPI University,VA,900
University of Cumberlands,KA,600
Top 20 Grad Program University,"Ashland, OH",700
"Wichita State University, Indiana Institute of...",a,700
"Wichita State University, Indiana Institute of...","Ashland, OH",700
Chatham University,BA,800
Youngstown State University,,800
St. Thomas University,,800
New York Institute of Technology,,450
Bard College,,400
Rhodes College,,130
Ohio Dominican University,,300
Western New England University,,630
Murray State University,,383
San Francisco State University,,700
T-50 university,,50
N/A University,,N/A
Arkansas Tech University,,240
SIUE/Purdue Northwest University,,350
College of William & Mary,,150
TU University,,195
Saginaw Valley State University,,430
Seattle Pacific University,,570
"Pace University, New York",,193
UT Dallas University,,152
Westclift University Irvine Campus California,,550
Not specified University,,N/A
Not mentioned University,,N/A
Other,,N/A
SDSU University,,130
